q_normalized_pions,q_normalized_kaons,q_normalized_protons
,487.26153187196513,
,321.4788057098195,
,297.14263355309134,
,204.64949111185564,
,281.53791582445984,
,1773.0049931407243,
,160.03143428064473,
,914.2293851019871,
,460.9710318730071,
,414.8525489350585,
,562.4652409272808,
,2128.189656832155,
,783.1150596159782,
,549.515527315424,
,574.48056859961,
,3716.278023848414,
,283.8979468483882,
,254.22671537458393,
,470.3977012036872,
,710.0085924647701,
,1694.1068008925997,
,238.52909313861784,
,814.3734461235218,
,606.9383372253166,
,807.407627484503,
,1034.1938531046787,
,761.9501584921596,
,527.7855490868831,
,654.5589464359979,
,395.73216283506673,
,782.9387486447317,
,270.82725870406364,
,187.61843114656386,
991.2432689932548,,
,194.3044800512584,
,721.8788522264169,
,310.0585168815489,
,669.5918291303436,
,317.6877989332543,
,424.8435749314644,
,178.97339684160096,
,735.8862225392355,
,970.6077708696023,
,281.8248617315813,
,346.77592628514475,
,556.6787139379603,
,614.8830413778556,
,640.9019940899179,
,948.7211411099347,
,225.89901215042386,
,882.3902005233987,
,249.4287103320655,
,736.0668797182975,
,510.2116172238114,
,438.0438806453431,
,417.23079000624233,
,481.38097862984046,
,785.7707036057811,
,461.60528391118925,
,324.8007743601437,
,222.66090528235108,
,1073.393324962578,
,258.9654406225828,
,1130.0822459637902,
,380.9122964770687,
,950.6122037393633,
,950.6904399733559,
,1288.357079795809,
,636.4127192245754,
,645.9359630048657,
,1759.4080178215188,
,982.2496354369039,
,798.7479642352331,
,700.3621815094581,
,250.9393461002482,
,661.4821595163269,
,1293.527173112917,
,776.1759507556446,
,627.3130385110248,
,569.5459850262876,
,249.42822945668314,
,499.70470216585363,
,926.5623656421303,
528.2338940280595,,
,598.4629160513293,
,368.84128028989875,
,283.21359242729716,
,349.88759767213315,
,219.63000244003112,
,429.1997215849255,
,607.3336966504858,
,547.534460389371,
,874.3822097505903,
,894.3349402780419,
,249.85026952109055,
,903.413326549815,
,468.0077124316574,
,268.21278327960846,
,417.01788703025204,
,805.5119597193901,
,313.3238756107681,
,1647.9701790610668,
